signal_date,exit_date,regime,selected,basket_return_pct,benchmark_return_pct,excess_return_pct
20250317,20250324,risk_on,012450;329180;000660,-4.3089,1.9121,-6.221
20250324,20250331,risk_on,012450;329180;000660,-7.8261,-5.1954,-2.6307
20250331,20250407,cash,,0.0,-6.8357,6.8357
20250407,20250414,cash,,0.0,4.6901,-4.6901
20250414,20250421,cash,,0.0,1.2131,-1.2131
20250421,20250428,cash,,0.0,2.3021,-2.3021
20250428,20250508,cash,,0.0,1.4652,-1.4652
20250508,20250515,risk_on,012450;329180;009540,-2.4659,2.2325,-4.6984
20250515,20250522,risk_on,012450;009540;329180,-0.9453,-1.2132,0.2679
20250522,20250529,risk_on,009540;329180;105560,5.6453,5.4329,0.2124
20250529,20250609,risk_on,009540;028260;012450,4.7939,5.3582,-0.5643
20250609,20250616,risk_on,028260;105560;055550,0.2545,2.9377,-2.6832
20250616,20250623,risk_on,009540;028260;105560,-1.3881,2.5905,-3.9786
20250623,20250630,risk_on,009540;035420;329180,-4.3887,2.7095,-7.0982
20250630,20250707,risk_on,009540;000660;035420,-7.8675,-0.347,-7.5204
20250707,20250714,risk_on,000660;009540;035420,3.7138,4.5005,-0.7867
20250714,20250721,risk_on,000660;055550;028260,-6.0793,0.6106,-6.6899
20250721,20250728,risk_on,028260;000660;055550,-3.436,-0.3544,-3.0816
20250728,20250804,risk_on,028260;055550;005930,-2.1305,-1.6992,-0.4313
20250804,20250811,risk_on,005930;373220;329180,1.8561,1.9485,-0.0925
20250811,20250819,risk_on,006400;373220;009540,-1.8005,-1.6121,-0.1884
20250819,20250826,risk_on,373220;006400;005930,-0.1176,0.7497,-0.8673
20250826,20250902,risk_on,006400;373220;005930,-6.0715,-0.3487,-5.7228
20250902,20250909,risk_on,009540;329180;006400,-0.8533,3.062,-3.9154
20250909,20250916,risk_on,009540;005930;000660,10.7885,7.1884,3.6
20250916,20250923,risk_on,000660;005930;028260,3.7765,1.9301,1.8464
20250923,20250930,risk_on,005930;000660;028260,-3.7701,-1.4473,-2.3229
20250930,20251014,risk_on,000660;005930;012450,3.9589,4.6594,-0.7005
20251014,20251021,risk_on,000660;005930;373220,12.117,7.9436,4.1733
20251021,20251028,risk_on,000660;005930;006400,10.4276,4.4503,5.9774
20251028,20251104,risk_on,000660;006400;373220,4.4647,3.9361,0.5286
20251104,20251111,risk_on,000660;006400;005930,-0.0986,-0.1467,0.0481
20251111,20251118,risk_on,000660;006400;005930,-6.5966,-4.114,-2.4826
20251118,20251125,risk_on,000660;006400;329180,-7.9023,-2.1425,-5.7598
20251125,20251202,risk_on,000660;028260;005930,3.2976,3.7915,-0.4939
20251202,20251209,risk_on,000660;005930;006400,2.6362,3.582,-0.9458
20251209,20251216,risk_on,000660;005930;005380,-6.1223,-3.9274,-2.1948
20251216,20251223,risk_on,000660;006400;005380,1.9228,3.8919,-1.9691
20251223,20260102,risk_on,000660;005930;005380,11.7261,6.9379,4.7882
20260102,20260109,risk_on,000660;005930;005380,13.5603,7.2131,6.3472
20260109,20260116,risk_on,000660;005380;005930,7.1922,5.3224,1.8698
20260116,20260123,risk_on,005380;000660;005930,9.0303,3.2074,5.8228
20260123,20260130,risk_on,005380;005930;000660,7.3585,5.9731,1.3854
20260130,20260206,risk_on,005380;000660;005930,-5.1282,-2.7299,-2.3983
20260206,20260213,risk_on,005380;005930;006400,7.4013,8.8643,-1.463
20260213,20260225,risk_on,005380;005930;000660,14.206,11.0309,3.175
20260225,20260305,risk_on,005930;005380;000660,-5.8691,-8.0541,2.185
20260305,20260312,risk_on,005380;005930;012450,-0.2585,-0.4423,0.1838
20260312,20260319,risk_on,005930;005380;012450,0.2514,4.2665,-4.015
20260319,20260326,risk_on,000660;005930;005380,-8.0674,-5.9364,-2.131
20260326,20260402,risk_on,012450;005380;000660,-4.1778,-4.179,0.0012
20260402,20260409,risk_on,006400;012450;005380,5.3024,11.5873,-6.2848
20260409,20260416,risk_on,006400;005930;000660,7.3455,8.5501,-1.2046
20260416,20260423,risk_on,006400;000660;005930,13.6468,3.8487,9.7981
20260423,20260430,risk_on,006400;000660;005930,4.5051,2.0272,2.4779
20260430,20260511,risk_on,006400;000660;329180,14.869,21.9208,-7.0518
20260511,20260518,risk_on,000660;006400;005930,-4.6947,-3.2552,-1.4394
20260518,20260526,risk_on,000660;006400;005930,7.5528,7.5653,-0.0126
20260526,20260602,risk_on,000660;005930;006400,9.7826,11.6918,-1.9093
